weeks old,segment,clicked_link,visited_website,visited pricing page,sequence
1,0,yes,yes,yes,
1,0,yes,yes,no,
1,0,yes,no,yes,
1,0,yes,no,no,
1,0,no,yes,yes,
1,0,no,yes,no,
1,0,no,no,yes,
1,0,no,no,no,
1,2,yes,yes,yes,
1,2,yes,yes,no,
1,2,yes,no,yes,
1,2,yes,no,no,
1,2,no,yes,yes,
1,2,no,yes,no,
1,2,no,no,yes,
1,2,no,no,no,
1,3,yes,yes,yes,
1,3,yes,yes,no,
1,3,yes,no,yes,
1,3,yes,no,no,
1,3,no,yes,yes,
1,3,no,yes,no,
1,3,no,no,yes,
1,3,no,no,no,
1,4,yes,yes,yes,
1,4,yes,yes,no,
1,4,yes,no,yes,
1,4,yes,no,no,
1,4,no,yes,yes,
1,4,no,yes,no,
1,4,no,no,yes,
1,4,no,no,no,
2,0,yes,yes,yes,
2,0,yes,yes,no,
2,0,yes,no,yes,
2,0,yes,no,no,
2,0,no,yes,yes,
2,0,no,yes,no,
2,0,no,no,yes,
2,0,no,no,no,
2,2,yes,yes,yes,
2,2,yes,yes,no,
2,2,yes,no,yes,
2,2,yes,no,no,
2,2,no,yes,yes,
2,2,no,yes,no,
2,2,no,no,yes,
2,2,no,no,no,
2,3,yes,yes,yes,
2,3,yes,yes,no,
2,3,yes,no,yes,
2,3,yes,no,no,
2,3,no,yes,yes,
2,3,no,yes,no,
2,3,no,no,yes,
2,3,no,no,no,
2,4,yes,yes,yes,
2,4,yes,yes,no,
2,4,yes,no,yes,
2,4,yes,no,no,
2,4,no,yes,yes,
2,4,no,yes,no,
2,4,no,no,yes,
2,4,no,no,no,
3,0,yes,yes,yes,
3,0,yes,yes,no,
3,0,yes,no,yes,
3,0,yes,no,no,
3,0,no,yes,yes,
3,0,no,yes,no,
3,0,no,no,yes,
3,0,no,no,no,
3,2,yes,yes,yes,
3,2,yes,yes,no,
3,2,yes,no,yes,
3,2,yes,no,no,
3,2,no,yes,yes,
3,2,no,yes,no,
3,2,no,no,yes,
3,2,no,no,no,
3,3,yes,yes,yes,
3,3,yes,yes,no,
3,3,yes,no,yes,
3,3,yes,no,no,
3,3,no,yes,yes,
3,3,no,yes,no,
3,3,no,no,yes,
3,3,no,no,no,
3,4,yes,yes,yes,
3,4,yes,yes,no,
3,4,yes,no,yes,
3,4,yes,no,no,
3,4,no,yes,yes,
3,4,no,yes,no,
3,4,no,no,yes,
3,4,no,no,no,
4,0,yes,yes,yes,
4,0,yes,yes,no,
4,0,yes,no,yes,
4,0,yes,no,no,
4,0,no,yes,yes,
4,0,no,yes,no,
4,0,no,no,yes,
4,0,no,no,no,
4,2,yes,yes,yes,
4,2,yes,yes,no,
4,2,yes,no,yes,
4,2,yes,no,no,
4,2,no,yes,yes,
4,2,no,yes,no,
4,2,no,no,yes,
4,2,no,no,no,
4,3,yes,yes,yes,
4,3,yes,yes,no,
4,3,yes,no,yes,
4,3,yes,no,no,
4,3,no,yes,yes,
4,3,no,yes,no,
4,3,no,no,yes,
4,3,no,no,no,
4,4,yes,yes,yes,
4,4,yes,yes,no,
4,4,yes,no,yes,
4,4,yes,no,no,
4,4,no,yes,yes,
4,4,no,yes,no,
4,4,no,no,yes,
4,4,no,no,no,
5,0,yes,yes,yes,
5,0,yes,yes,no,
5,0,yes,no,yes,
5,0,yes,no,no,
5,0,no,yes,yes,
5,0,no,yes,no,
5,0,no,no,yes,
5,0,no,no,no,
5,2,yes,yes,yes,
5,2,yes,yes,no,
5,2,yes,no,yes,
5,2,yes,no,no,
5,2,no,yes,yes,
5,2,no,yes,no,
5,2,no,no,yes,
5,2,no,no,no,
5,3,yes,yes,yes,
5,3,yes,yes,no,
5,3,yes,no,yes,
5,3,yes,no,no,
5,3,no,yes,yes,
5,3,no,yes,no,
5,3,no,no,yes,
5,3,no,no,no,
5,4,yes,yes,yes,
5,4,yes,yes,no,
5,4,yes,no,yes,
5,4,yes,no,no,
5,4,no,yes,yes,
5,4,no,yes,no,
5,4,no,no,yes,
5,4,no,no,no,
6,0,yes,yes,yes,
6,0,yes,yes,no,
6,0,yes,no,yes,
6,0,yes,no,no,
6,0,no,yes,yes,
6,0,no,yes,no,
6,0,no,no,yes,
6,0,no,no,no,
6,2,yes,yes,yes,
6,2,yes,yes,no,
6,2,yes,no,yes,
6,2,yes,no,no,
6,2,no,yes,yes,
6,2,no,yes,no,
6,2,no,no,yes,
6,2,no,no,no,
6,3,yes,yes,yes,
6,3,yes,yes,no,
6,3,yes,no,yes,
6,3,yes,no,no,
6,3,no,yes,yes,
6,3,no,yes,no,
6,3,no,no,yes,
6,3,no,no,no,
6,4,yes,yes,yes,
6,4,yes,yes,no,
6,4,yes,no,yes,
6,4,yes,no,no,
6,4,no,yes,yes,
6,4,no,yes,no,
6,4,no,no,yes,
6,4,no,no,no,
7,0,yes,yes,yes,
7,0,yes,yes,no,
7,0,yes,no,yes,
7,0,yes,no,no,
7,0,no,yes,yes,
7,0,no,yes,no,
7,0,no,no,yes,
7,0,no,no,no,
7,2,yes,yes,yes,
7,2,yes,yes,no,
7,2,yes,no,yes,
7,2,yes,no,no,
7,2,no,yes,yes,
7,2,no,yes,no,
7,2,no,no,yes,
7,2,no,no,no,
7,3,yes,yes,yes,
7,3,yes,yes,no,
7,3,yes,no,yes,
7,3,yes,no,no,
7,3,no,yes,yes,
7,3,no,yes,no,
7,3,no,no,yes,
7,3,no,no,no,
7,4,yes,yes,yes,
7,4,yes,yes,no,
7,4,yes,no,yes,
7,4,yes,no,no,
7,4,no,yes,yes,
7,4,no,yes,no,
7,4,no,no,yes,
7,4,no,no,no,
